Era,Region,miniIso_cut,sip3d_cut,mva_cut,optimization_metric,n_bins_used,recommendation
2023BPix,Endcap,0.4,9.0,0.4,3.417,3,
2023BPix,Endcap,0.4,9.0,0.5,1.793,2,
2023BPix,Endcap,0.4,9.0,0.6,2.062,2,
2023BPix,Endcap,0.4,9.0,0.7,2.501,2,
2023BPix,Endcap,0.4,9.0,0.8,0.776,1,
2023BPix,Endcap,0.4,10.0,-0.8,4.488,4,
2023BPix,Endcap,0.4,10.0,-0.7,4.364,4,
2023BPix,Endcap,0.4,10.0,-0.6,4.104,4,
2023BPix,Endcap,0.4,10.0,-0.5,4.445,4,
2023BPix,Endcap,0.4,10.0,-0.4,4.372,4,
2023BPix,Endcap,0.4,10.0,-0.3,4.375,4,
2023BPix,Endcap,0.4,10.0,-0.2,4.427,4,
2023BPix,Endcap,0.4,10.0,-0.1,4.425,4,
2023BPix,Endcap,0.4,10.0,0.0,4.433,4,
2023BPix,Endcap,0.4,10.0,0.1,4.498,4,
2023BPix,Endcap,0.4,10.0,0.2,4.718,4,
2023BPix,Endcap,0.4,10.0,0.3,5.210,4,
2023BPix,Endcap,0.4,10.0,0.4,3.683,3,
2023BPix,Endcap,0.4,10.0,0.5,3.749,3,
2023BPix,Endcap,0.4,10.0,0.6,2.324,2,
2023BPix,Endcap,0.4,10.0,0.7,2.758,2,
2023BPix,Endcap,0.4,10.0,0.8,3.074,2,
